dates,HEDG,HEDG_CVARB,HEDG_DEDSH,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI,SECT,SECT_CVARB,SECT_DEDSH,SECT_EMMKT,SECT_EQNTR,SECT_EVDRV,SECT_FIARB,SECT_GLMAC,SECT_LOSHO,SECT_MGFUT,SECT_MULTI
12/31/1993,100,100,100,100,100,100,100,100,100,100,100,100,100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/31/1994,101.14,100.36,98.4,110.54,99.48,103.68,103.94,103.6,100.57,101.3,100.17,101.2,100.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/28/1994,97,100.51,100.37,109.28,99.72,103.52,103.59,103.71,100.13,99.27,94.51,98.7,101.42,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/31/1994,93.54,99.54,107.59,104.24,99.48,102.18,101.69,102.85,101.99,97.6,90.47,94.85,104.06,100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/30/1994,91.91,97.03,108.97,95.53,99.73,101.51,100.97,102.26,101.01,97.4,89.03,93.37,104.95,102.58,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
5/31/1994,93.96,96.04,111.42,94.83,99.62,101.36,100.12,102.97,101.26,98.17,92.41,93.9,105.75,99.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
6/30/1994,93.2,96.24,118.49,95.28,100.32,101.23,99.17,103.82,101.44,97.78,91.56,91.73,110.14,102.59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
7/31/1994,93.53,96.37,117.09,100.82,99.32,101.78,100.96,102.82,102.02,97.6,91.24,92.91,109.03,100.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8/31/1994,96.12,96.33,110.46,117.37,98.34,102.61,103.02,102.08,103.74,97.51,93.75,94.43,108.74,97.05,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
9/30/1994,96.76,95.18,112.2,123.47,97.42,103.38,104.16,102.41,104.13,98.19,93.98,94.67,110.95,96.43,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
10/31/1994,95.45,93.89,111.74,119.14,97.06,102.63,103.8,101.12,104.34,99.06,91.89,94.93,112.26,97.96,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
11/30/1994,95.84,93.73,115.13,117.45,96.77,101.54,101.31,101.64,104.98,99.74,93.81,92.22,114.11,95.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
12/31/1994,95.64,91.93,114.91,112.51,98,100.75,100.67,100.62,105.25,100.31,94.28,91.9,111.95,97.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/31/1995,93.76,91.36,116.42,101.28,98.46,101.26,101.11,100.89,106.94,100.58,91.95,91.22,111.86,99.44,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/28/1995,94.18,92.44,113.81,93.3,99.39,103.7,104.03,102.87,108.95,101.23,92.01,93.99,110.44,99.67,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/31/1995,97.46,93.66,114.24,88.16,102.29,104.58,107.07,101.6,109.64,100.78,97.49,94.75,120.89,101.52,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
